Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Paralela,50000,random,1,2,2,1,20,069100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,1,2,2,2,18,644100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,1,2,2,3,22,023100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,1,2,2,4,17,852100,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,1,2,2,5,21,115900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,2,4,4,1,18,872700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,2,4,4,2,31,176800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,2,4,4,3,28,496600,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,2,4,4,4,26,064300,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,2,4,4,5,17,861700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,3,8,8,1,21,818200,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,3,8,8,2,21,102800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,3,8,8,3,21,300400,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,3,8,8,4,23,181300,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,random,3,8,8,5,22,537800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,sorted,0,1,1,1,15,467000,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,sorted,0,1,1,2,14,458800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,sorted,0,1,1,3,16,961000,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,sorted,0,1,1,4,14,468900,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Serial,50000,sorted,0,1,1,5,14,236400,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,1,2,2,1,9,967800,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,1,2,2,2,11,600700,16,Mon Nov 03 16:19:22 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,1,2,2,3,9,221400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,1,2,2,4,9,746000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,1,2,2,5,10,049900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,2,4,4,1,10,899000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,2,4,4,2,9,008000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,2,4,4,3,9,744100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,2,4,4,4,8,441200,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,2,4,4,5,9,810000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,3,8,8,1,12,037300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,3,8,8,2,9,712700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,3,8,8,3,9,735500,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,3,8,8,4,8,732900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,sorted,3,8,8,5,13,170700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,reversed,0,1,1,1,20,156800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,reversed,0,1,1,2,18,933800,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,reversed,0,1,1,3,16,735900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,reversed,0,1,1,4,17,479400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
