Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
InsertionSort,Paralela,5000,sorted,3,8,8,4,0,909000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,sorted,3,8,8,5,0,926100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,reversed,0,1,1,1,3,720600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,reversed,0,1,1,2,3,215800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,reversed,0,1,1,3,3,047200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,reversed,0,1,1,4,2,990700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,reversed,0,1,1,5,3,290600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,1,2,2,1,1,786200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,1,2,2,2,1,518500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,1,2,2,3,1,456800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,1,2,2,4,1,757200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,1,2,2,5,1,657600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,2,4,4,1,1,176700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,2,4,4,2,1,007600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,2,4,4,3,0,943200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,2,4,4,4,0,907800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,2,4,4,5,1,099900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,3,8,8,1,0,957500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,3,8,8,2,1,041800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,3,8,8,3,1,181600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,3,8,8,4,1,446500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,reversed,3,8,8,5,1,131100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,duplicates,0,1,1,1,1,357100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,duplicates,0,1,1,2,1,214100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,duplicates,0,1,1,3,1,307800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,duplicates,0,1,1,4,1,226000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,5000,duplicates,0,1,1,5,1,346800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,1,2,2,1,0,953800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,1,2,2,2,0,935700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,1,2,2,3,1,019000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,1,2,2,4,0,943900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,1,2,2,5,1,157600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,2,4,4,1,0,720300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,2,4,4,2,0,845300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,2,4,4,3,0,851800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,2,4,4,4,0,804000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,2,4,4,5,0,769300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,3,8,8,1,0,892400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,3,8,8,2,1,201900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,3,8,8,3,1,068900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,3,8,8,4,1,307600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,5000,duplicates,3,8,8,5,1,058300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,random,0,1,1,1,6,199400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,random,0,1,1,2,6,025400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,random,0,1,1,3,9,408600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,random,0,1,1,4,7,794000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,random,0,1,1,5,8,387500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,1,2,2,1,3,387200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,1,2,2,2,3,485400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,1,2,2,3,3,066200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,1,2,2,4,2,475500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,1,2,2,5,2,455500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,2,4,4,1,1,263300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,2,4,4,2,1,307200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,2,4,4,3,1,680600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,2,4,4,4,2,132700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,2,4,4,5,2,143600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,3,8,8,1,1,674300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,3,8,8,2,1,329300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,3,8,8,3,1,313900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,3,8,8,4,1,407100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,random,3,8,8,5,1,316500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,sorted,0,1,1,1,0,026000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,sorted,0,1,1,2,0,015100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,sorted,0,1,1,3,0,024500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,sorted,0,1,1,4,0,033700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,sorted,0,1,1,5,0,012900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,1,2,2,1,0,519800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,1,2,2,2,0,573700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,1,2,2,3,0,651500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,1,2,2,4,0,563300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,1,2,2,5,3,165000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,2,4,4,1,0,938500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,2,4,4,2,0,714300,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,2,4,4,3,0,852000,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,2,4,4,4,0,876900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,2,4,4,5,0,690500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,3,8,8,1,1,160800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,3,8,8,2,0,934800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,3,8,8,3,1,118700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,3,8,8,4,1,115600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,sorted,3,8,8,5,0,927200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,reversed,0,1,1,1,12,660900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,reversed,0,1,1,2,12,449600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,reversed,0,1,1,3,12,543200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,reversed,0,1,1,4,12,676100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,reversed,0,1,1,5,12,304100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,1,2,2,1,4,698900,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,1,2,2,2,3,790600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,1,2,2,3,3,929600,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,1,2,2,4,4,537800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,1,2,2,5,3,610700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,2,4,4,1,2,148200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,2,4,4,2,1,848400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,2,4,4,3,2,240800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,2,4,4,4,1,600400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,2,4,4,5,1,967500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,3,8,8,1,1,409700,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,3,8,8,2,1,360200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,3,8,8,3,1,490400,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,3,8,8,4,1,290500,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Paralela,10000,reversed,3,8,8,5,1,273800,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,duplicates,0,1,1,1,5,042100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,duplicates,0,1,1,2,5,480100,16,Mon Nov 03 16:39:08 GMT-03:00 2025
InsertionSort,Serial,10000,duplicates,0,1,1,3,4,998200,16,Mon Nov 03 16:39:08 GMT-03:00 2025
