Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Paralela,50000,random,3,8,8,2,6,589000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,3,8,8,3,4,561000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,3,8,8,4,4,787800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,random,3,8,8,5,4,198200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,sorted,0,1,1,1,3,921300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,sorted,0,1,1,2,3,764300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,sorted,0,1,1,3,4,366400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,sorted,0,1,1,4,4,499300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,sorted,0,1,1,5,3,702700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,1,2,2,1,5,436700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,1,2,2,2,2,705000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,1,2,2,3,2,500200,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,1,2,2,4,2,410700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,1,2,2,5,2,672100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,2,4,4,1,2,494400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,2,4,4,2,3,373800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
